Sector,Basis,Component,Measure,Units,Year,Qtr,Value
"Total economy","All workers","Total U.S. economy","Hours worked","Billions of hours",2006,2,265.972
"Total economy",Employees,"General government: total","Hours worked","Billions of hours",2006,2,36.028
"Total economy",Employees,"General government: federal","Hours worked","Billions of hours",2006,2,3.677
"Total economy",Employees,"General government: state and local","Hours worked","Billions of hours",2006,2,32.352
"Total economy",Personnel,"Armed forces","Hours worked","Billions of hours",2006,2,2.595
"Total economy",Employees,"Private households","Hours worked","Billions of hours",2006,2,1.263
"Total economy",Employees,"Nonprofit institutions","Hours worked","Billions of hours",2006,2,20.494
"Total economy","All workers",Farm,"Hours worked","Billions of hours",2006,2,4.173
"Total economy","All workers","Nonfarm business: total","Hours worked","Billions of hours",2006,2,201.418
"Total economy",Employees,"Nonfarm business: private nonfarm (excluding nonprofit institutions)","Hours worked","Billions of hours",2006,2,178.56
"Total economy",Employees,"Nonfarm business: government enterprises: total","Hours worked","Billions of hours",2006,2,4.038
"Total economy",Employees,"Nonfarm business: government enterprises: federal","Hours worked","Billions of hours",2006,2,1.739
"Total economy",Employees,"Nonfarm business: government enterprises: state and local","Hours worked","Billions of hours",2006,2,2.299
"Total economy","Unpaid family workers","Nonfarm business: non-employees: unpaid family workers","Hours worked","Billions of hours",2006,2,0.146
"Total economy",Proprietors,"Nonfarm business: non-employees: proprietors","Hours worked","Billions of hours",2006,2,18.674
"Total economy","All workers","Total U.S. economy",Employment,"Millions of jobs",2006,2,152.349
"Total economy",Employees,"General government: total",Employment,"Millions of jobs",2006,2,19.866
"Total economy",Employees,"General government: federal",Employment,"Millions of jobs",2006,2,1.859
"Total economy",Employees,"General government: state and local",Employment,"Millions of jobs",2006,2,18.007
"Total economy",Personnel,"Armed forces",Employment,"Millions of jobs",2006,2,1.42
"Total economy",Employees,"Private households",Employment,"Millions of jobs",2006,2,0.939
"Total economy",Employees,"Nonprofit institutions",Employment,"Millions of jobs",2006,2,12.839
"Total economy","All workers",Farm,Employment,"Millions of jobs",2006,2,2.223
"Total economy","All workers","Nonfarm business: total",Employment,"Millions of jobs",2006,2,115.061
"Total economy",Employees,"Nonfarm business: private nonfarm (excluding nonprofit institutions)",Employment,"Millions of jobs",2006,2,101.828
"Total economy",Employees,"Nonfarm business: government enterprises: total",Employment,"Millions of jobs",2006,2,2.056
"Total economy",Employees,"Nonfarm business: government enterprises: federal",Employment,"Millions of jobs",2006,2,0.875
"Total economy",Employees,"Nonfarm business: government enterprises: state and local",Employment,"Millions of jobs",2006,2,1.181
"Total economy","Unpaid family workers","Nonfarm business: non-employees: unpaid family workers",Employment,"Millions of jobs",2006,2,0.098
"Total economy",Proprietors,"Nonfarm business: non-employees: proprietors",Employment,"Millions of jobs",2006,2,11.079
"Total economy","All workers","Total U.S. economy","Hours worked","Billions of hours",2006,3,267.207
"Total economy",Employees,"General government: total","Hours worked","Billions of hours",2006,3,36.283
"Total economy",Employees,"General government: federal","Hours worked","Billions of hours",2006,3,3.711
"Total economy",Employees,"General government: state and local","Hours worked","Billions of hours",2006,3,32.571
"Total economy",Personnel,"Armed forces","Hours worked","Billions of hours",2006,3,2.604
"Total economy",Employees,"Private households","Hours worked","Billions of hours",2006,3,1.258
"Total economy",Employees,"Nonprofit institutions","Hours worked","Billions of hours",2006,3,20.595
"Total economy","All workers",Farm,"Hours worked","Billions of hours",2006,3,4.21
"Total economy","All workers","Nonfarm business: total","Hours worked","Billions of hours",2006,3,202.257
"Total economy",Employees,"Nonfarm business: private nonfarm (excluding nonprofit institutions)","Hours worked","Billions of hours",2006,3,179.258
"Total economy",Employees,"Nonfarm business: government enterprises: total","Hours worked","Billions of hours",2006,3,4.07
"Total economy",Employees,"Nonfarm business: government enterprises: federal","Hours worked","Billions of hours",2006,3,1.73
"Total economy",Employees,"Nonfarm business: government enterprises: state and local","Hours worked","Billions of hours",2006,3,2.34
"Total economy","Unpaid family workers","Nonfarm business: non-employees: unpaid family workers","Hours worked","Billions of hours",2006,3,0.155
"Total economy",Proprietors,"Nonfarm business: non-employees: proprietors","Hours worked","Billions of hours",2006,3,18.773
"Total economy","All workers","Total U.S. economy",Employment,"Millions of jobs",2006,3,152.752
"Total economy",Employees,"General government: total",Employment,"Millions of jobs",2006,3,19.966
"Total economy",Employees,"General government: federal",Employment,"Millions of jobs",2006,3,1.863
"Total economy",Employees,"General government: state and local",Employment,"Millions of jobs",2006,3,18.103
"Total economy",Personnel,"Armed forces",Employment,"Millions of jobs",2006,3,1.421
"Total economy",Employees,"Private households",Employment,"Millions of jobs",2006,3,0.89
"Total economy",Employees,"Nonprofit institutions",Employment,"Millions of jobs",2006,3,12.846
"Total economy","All workers",Farm,Employment,"Millions of jobs",2006,3,2.26
"Total economy","All workers","Nonfarm business: total",Employment,"Millions of jobs",2006,3,115.37
"Total economy",Employees,"Nonfarm business: private nonfarm (excluding nonprofit institutions)",Employment,"Millions of jobs",2006,3,102.16
"Total economy",Employees,"Nonfarm business: government enterprises: total",Employment,"Millions of jobs",2006,3,2.056
"Total economy",Employees,"Nonfarm business: government enterprises: federal",Employment,"Millions of jobs",2006,3,0.872
"Total economy",Employees,"Nonfarm business: government enterprises: state and local",Employment,"Millions of jobs",2006,3,1.184
"Total economy","Unpaid family workers","Nonfarm business: non-employees: unpaid family workers",Employment,"Millions of jobs",2006,3,0.102
"Total economy",Proprietors,"Nonfarm business: non-employees: proprietors",Employment,"Millions of jobs",2006,3,11.052
"Total economy","All workers","Total U.S. economy","Hours worked","Billions of hours",2006,4,268.612
"Total economy",Employees,"General government: total","Hours worked","Billions of hours",2006,4,36.746
"Total economy",Employees,"General government: federal","Hours worked","Billions of hours",2006,4,3.738
"Total economy",Employees,"General government: state and local","Hours worked","Billions of hours",2006,4,33.007
"Total economy",Personnel,"Armed forces","Hours worked","Billions of hours",2006,4,2.619
"Total economy",Employees,"Private households","Hours worked","Billions of hours",2006,4,1.158
"Total economy",Employees,"Nonprofit institutions","Hours worked","Billions of hours",2006,4,20.659
"Total economy","All workers",Farm,"Hours worked","Billions of hours",2006,4,4.317
"Total economy","All workers","Nonfarm business: total","Hours worked","Billions of hours",2006,4,203.113
"Total economy",Employees,"Nonfarm business: private nonfarm (excluding nonprofit institutions)","Hours worked","Billions of hours",2006,4,179.94
"Total economy",Employees,"Nonfarm business: government enterprises: total","Hours worked","Billions of hours",2006,4,4.015
"Total economy",Employees,"Nonfarm business: government enterprises: federal","Hours worked","Billions of hours",2006,4,1.682
"Total economy",Employees,"Nonfarm business: government enterprises: state and local","Hours worked","Billions of hours",2006,4,2.333
"Total economy","Unpaid family workers","Nonfarm business: non-employees: unpaid family workers","Hours worked","Billions of hours",2006,4,0.212
"Total economy",Proprietors,"Nonfarm business: non-employees: proprietors","Hours worked","Billions of hours",2006,4,18.946
"Total economy","All workers","Total U.S. economy",Employment,"Millions of jobs",2006,4,153.209
"Total economy",Employees,"General government: total",Employment,"Millions of jobs",2006,4,20.028
"Total economy",Employees,"General government: federal",Employment,"Millions of jobs",2006,4,1.864
"Total economy",Employees,"General government: state and local",Employment,"Millions of jobs",2006,4,18.163
"Total economy",Personnel,"Armed forces",Employment,"Millions of jobs",2006,4,1.419
"Total economy",Employees,"Private households",Employment,"Millions of jobs",2006,4,0.876
"Total economy",Employees,"Nonprofit institutions",Employment,"Millions of jobs",2006,4,12.887
"Total economy","All workers",Farm,Employment,"Millions of jobs",2006,4,2.219
"Total economy","All workers","Nonfarm business: total",Employment,"Millions of jobs",2006,4,115.781
"Total economy",Employees,"Nonfarm business: private nonfarm (excluding nonprofit institutions)",Employment,"Millions of jobs",2006,4,102.435
"Total economy",Employees,"Nonfarm business: government enterprises: total",Employment,"Millions of jobs",2006,4,2.052
"Total economy",Employees,"Nonfarm business: government enterprises: federal",Employment,"Millions of jobs",2006,4,0.866
"Total economy",Employees,"Nonfarm business: government enterprises: state and local",Employment,"Millions of jobs",2006,4,1.186
"Total economy","Unpaid family workers","Nonfarm business: non-employees: unpaid family workers",Employment,"Millions of jobs",2006,4,0.129
"Total economy",Proprietors,"Nonfarm business: non-employees: proprietors",Employment,"Millions of jobs",2006,4,11.165
"Total economy","All workers","Total U.S. economy","Hours worked","Billions of hours",2007,1,268.556
"Total economy",Employees,"General government: total","Hours worked","Billions of hours",2007,1,36.283
"Total economy",Employees,"General government: federal","Hours worked","Billions of hours",2007,1,3.682
"Total economy",Employees,"General government: state and local","Hours worked","Billions of hours",2007,1,32.6
"Total economy",Personnel,"Armed forces","Hours worked","Billions of hours",2007,1,2.575
"Total economy",Employees,"Private households","Hours worked","Billions of hours",2007,1,1.281
"Total economy",Employees,"Nonprofit institutions","Hours worked","Billions of hours",2007,1,20.705
"Total economy","All workers",Farm,"Hours worked","Billions of hours",2007,1,4.308
"Total economy","All workers","Nonfarm business: total","Hours worked","Billions of hours",2007,1,203.404
"Total economy",Employees,"Nonfarm business: private nonfarm (excluding nonprofit institutions)","Hours worked","Billions of hours",2007,1,180.602
"Total economy",Employees,"Nonfarm business: government enterprises: total","Hours worked","Billions of hours",2007,1,3.986
"Total economy",Employees,"Nonfarm business: government enterprises: federal","Hours worked","Billions of hours",2007,1,1.669
"Total economy",Employees,"Nonfarm business: government enterprises: state and local","Hours worked","Billions of hours",2007,1,2.318
"Total economy","Unpaid family workers","Nonfarm business: non-employees: unpaid family workers","Hours worked","Billions of hours",2007,1,0.219
"Total economy",Proprietors,"Nonfarm business: non-employees: proprietors","Hours worked","Billions of hours",2007,1,18.597
"Total economy","All workers","Total U.S. economy",Employment,"Millions of jobs",2007,1,153.698
"Total economy",Employees,"General government: total",Employment,"Millions of jobs",2007,1,20.077
"Total economy",Employees,"General government: federal",Employment,"Millions of jobs",2007,1,1.872
"Total economy",Employees,"General government: state and local",Employment,"Millions of jobs",2007,1,18.205
"Total economy",Personnel,"Armed forces",Employment,"Millions of jobs",2007,1,1.415
"Total economy",Employees,"Private households",Employment,"Millions of jobs",2007,1,0.959
"Total economy",Employees,"Nonprofit institutions",Employment,"Millions of jobs",2007,1,12.907
"Total economy","All workers",Farm,Employment,"Millions of jobs",2007,1,2.25
"Total economy","All workers","Nonfarm business: total",Employment,"Millions of jobs",2007,1,116.09
"Total economy",Employees,"Nonfarm business: private nonfarm (excluding nonprofit institutions)",Employment,"Millions of jobs",2007,1,102.916
"Total economy",Employees,"Nonfarm business: government enterprises: total",Employment,"Millions of jobs",2007,1,2.048
"Total economy",Employees,"Nonfarm business: government enterprises: federal",Employment,"Millions of jobs",2007,1,0.86
"Total economy",Employees,"Nonfarm business: government enterprises: state and local",Employment,"Millions of jobs",2007,1,1.189
"Total economy","Unpaid family workers","Nonfarm business: non-employees: unpaid family workers",Employment,"Millions of jobs",2007,1,0.126
"Total economy",Proprietors,"Nonfarm business: non-employees: proprietors",Employment,"Millions of jobs",2007,1,10.999
"Total economy","All workers","Total U.S. economy","Hours worked","Billions of hours",2007,2,269.704
"Total economy",Employees,"General government: total","Hours worked","Billions of hours",2007,2,36.705
"Total economy",Employees,"General government: federal","Hours worked","Billions of hours",2007,2,3.732
"Total economy",Employees,"General government: state and local","Hours worked","Billions of hours",2007,2,32.973
"Total economy",Personnel,"Armed forces","Hours worked","Billions of hours",2007,2,2.595
"Total economy",Employees,"Private households","Hours worked","Billions of hours",2007,2,1.218
"Total economy",Employees,"Nonprofit institutions","Hours worked","Billions of hours",2007,2,20.846
"Total economy","All workers",Farm,"Hours worked","Billions of hours",2007,2,3.915
"Total economy","All workers","Nonfarm business: total","Hours worked","Billions of hours",2007,2,204.425
"Total economy",Employees,"Nonfarm business: private nonfarm (excluding nonprofit institutions)","Hours worked","Billions of hours",2007,2,181.452
"Total economy",Employees,"Nonfarm business: government enterprises: total","Hours worked","Billions of hours",2007,2,4.064
"Total economy",Employees,"Nonfarm business: government enterprises: federal","Hours worked","Billions of hours",2007,2,1.685
"Total economy",Employees,"Nonfarm business: government enterprises: state and local","Hours worked","Billions of hours",2007,2,2.378
"Total economy","Unpaid family workers","Nonfarm business: non-employees: unpaid family workers","Hours worked","Billions of hours",2007,2,0.195
"Total economy",Proprietors,"Nonfarm business: non-employees: proprietors","Hours worked","Billions of hours",2007,2,18.714
"Total economy","All workers","Total U.S. economy",Employment,"Millions of jobs",2007,2,153.934
"Total economy",Employees,"General government: total",Employment,"Millions of jobs",2007,2,20.14
"Total economy",Employees,"General government: federal",Employment,"Millions of jobs",2007,2,1.871
"Total economy",Employees,"General government: state and local",Employment,"Millions of jobs",2007,2,18.268
"Total economy",Personnel,"Armed forces",Employment,"Millions of jobs",2007,2,1.413
"Total economy",Employees,"Private households",Employment,"Millions of jobs",2007,2,0.896
"Total economy",Employees,"Nonprofit institutions",Employment,"Millions of jobs",2007,2,12.955
"Total economy","All workers",Farm,Employment,"Millions of jobs",2007,2,2.086
"Total economy","All workers","Nonfarm business: total",Employment,"Millions of jobs",2007,2,116.444
"Total economy",Employees,"Nonfarm business: private nonfarm (excluding nonprofit institutions)",Employment,"Millions of jobs",2007,2,103.169
"Total economy",Employees,"Nonfarm business: government enterprises: total",Employment,"Millions of jobs",2007,2,2.052
"Total economy",Employees,"Nonfarm business: government enterprises: federal",Employment,"Millions of jobs",2007,2,0.86
"Total economy",Employees,"Nonfarm business: government enterprises: state and local",Employment,"Millions of jobs",2007,2,1.192
"Total economy","Unpaid family workers","Nonfarm business: non-employees: unpaid family workers",Employment,"Millions of jobs",2007,2,0.113
"Total economy",Proprietors,"Nonfarm business: non-employees: proprietors",Employment,"Millions of jobs",2007,2,11.11
"Total economy","All workers","Total U.S. economy","Hours worked","Billions of hours",2007,3,269.091
"Total economy",Employees,"General government: total","Hours worked","Billions of hours",2007,3,36.884
"Total economy",Employees,"General government: federal","Hours worked","Billions of hours",2007,3,3.676
"Total economy",Employees,"General government: state and local","Hours worked","Billions of hours",2007,3,33.208
"Total economy",Personnel,"Armed forces","Hours worked","Billions of hours",2007,3,2.605
"Total economy",Employees,"Private households","Hours worked","Billions of hours",2007,3,1.19
"Total economy",Employees,"Nonprofit institutions","Hours worked","Billions of hours",2007,3,20.955
"Total economy","All workers",Farm,"Hours worked","Billions of hours",2007,3,3.814
"Total economy","All workers","Nonfarm business: total","Hours worked","Billions of hours",2007,3,203.642
"Total economy",Employees,"Nonfarm business: private nonfarm (excluding nonprofit institutions)","Hours worked","Billions of hours",2007,3,181.087
"Total economy",Employees,"Nonfarm business: government enterprises: total","Hours worked","Billions of hours",2007,3,4
"Total economy",Employees,"Nonfarm business: government enterprises: federal","Hours worked","Billions of hours",2007,3,1.641
"Total economy",Employees,"Nonfarm business: government enterprises: state and local","Hours worked","Billions of hours",2007,3,2.359
"Total economy","Unpaid family workers","Nonfarm business: non-employees: unpaid family workers","Hours worked","Billions of hours",2007,3,0.213
"Total economy",Proprietors,"Nonfarm business: non-employees: proprietors","Hours worked","Billions of hours",2007,3,18.343
"Total economy","All workers","Total U.S. economy",Employment,"Millions of jobs",2007,3,153.778
"Total economy",Employees,"General government: total",Employment,"Millions of jobs",2007,3,20.171
"Total economy",Employees,"General government: federal",Employment,"Millions of jobs",2007,3,1.873
"Total economy",Employees,"General government: state and local",Employment,"Millions of jobs",2007,3,18.298
"Total economy",Personnel,"Armed forces",Employment,"Millions of jobs",2007,3,1.416
"Total economy",Employees,"Private households",Employment,"Millions of jobs",2007,3,0.876
"Total economy",Employees,"Nonprofit institutions",Employment,"Millions of jobs",2007,3,13.006
"Total economy","All workers",Farm,Employment,"Millions of jobs",2007,3,2.039
"Total economy","All workers","Nonfarm business: total",Employment,"Millions of jobs",2007,3,116.27
"Total economy",Employees,"Nonfarm business: private nonfarm (excluding nonprofit institutions)",Employment,"Millions of jobs",2007,3,103.166
"Total economy",Employees,"Nonfarm business: government enterprises: total",Employment,"Millions of jobs",2007,3,2.054
"Total economy",Employees,"Nonfarm business: government enterprises: federal",Employment,"Millions of jobs",2007,3,0.861
"Total economy",Employees,"Nonfarm business: government enterprises: state and local",Employment,"Millions of jobs",2007,3,1.194
"Total economy","Unpaid family workers","Nonfarm business: non-employees: unpaid family workers",Employment,"Millions of jobs",2007,3,0.123
"Total economy",Proprietors,"Nonfarm business: non-employees: proprietors",Employment,"Millions of jobs",2007,3,10.927
"Total economy","All workers","Total U.S. economy","Hours worked","Billions of hours",2007,4,269.737
"Total economy",Employees,"General government: total","Hours worked","Billions of hours",2007,4,37.734
"Total economy",Employees,"General government: federal","Hours worked","Billions of hours",2007,4,3.79
"Total economy",Employees,"General government: state and local","Hours worked","Billions of hours",2007,4,33.945
"Total economy",Personnel,"Armed forces","Hours worked","Billions of hours",2007,4,2.65
"Total economy",Employees,"Private households","Hours worked","Billions of hours",2007,4,1.256
"Total economy",Employees,"Nonprofit institutions","Hours worked","Billions of hours",2007,4,21.007
"Total economy","All workers",Farm,"Hours worked","Billions of hours",2007,4,4.157
"Total economy","All workers","Nonfarm business: total","Hours worked","Billions of hours",2007,4,202.933
"Total economy",Employees,"Nonfarm business: private nonfarm (excluding nonprofit institutions)","Hours worked","Billions of hours",2007,4,180.871
"Total economy",Employees,"Nonfarm business: government enterprises: total","Hours worked","Billions of hours",2007,4,4.07
"Total economy",Employees,"Nonfarm business: government enterprises: federal","Hours worked","Billions of hours",2007,4,1.711
"Total economy",Employees,"Nonfarm business: government enterprises: state and local","Hours worked","Billions of hours",2007,4,2.359
"Total economy","Unpaid family workers","Nonfarm business: non-employees: unpaid family workers","Hours worked","Billions of hours",2007,4,0.168
"Total economy",Proprietors,"Nonfarm business: non-employees: proprietors","Hours worked","Billions of hours",2007,4,17.824
"Total economy","All workers","Total U.S. economy",Employment,"Millions of jobs",2007,4,154.045
"Total economy",Employees,"General government: total",Employment,"Millions of jobs",2007,4,20.267
"Total economy",Employees,"General government: federal",Employment,"Millions of jobs",2007,4,1.873
"Total economy",Employees,"General government: state and local",Employment,"Millions of jobs",2007,4,18.394
"Total economy",Personnel,"Armed forces",Employment,"Millions of jobs",2007,4,1.416
"Total economy",Employees,"Private households",Employment,"Millions of jobs",2007,4,0.891
"Total economy",Employees,"Nonprofit institutions",Employment,"Millions of jobs",2007,4,13.066
"Total economy","All workers",Farm,Employment,"Millions of jobs",2007,4,2.182
"Total economy","All workers","Nonfarm business: total",Employment,"Millions of jobs",2007,4,116.224
"Total economy",Employees,"Nonfarm business: private nonfarm (excluding nonprofit institutions)",Employment,"Millions of jobs",2007,4,103.229
"Total economy",Employees,"Nonfarm business: government enterprises: total",Employment,"Millions of jobs",2007,4,2.069
"Total economy",Employees,"Nonfarm business: government enterprises: federal",Employment,"Millions of jobs",2007,4,0.872
"Total economy",Employees,"Nonfarm business: government enterprises: state and local",Employment,"Millions of jobs",2007,4,1.197
"Total economy","Unpaid family workers","Nonfarm business: non-employees: unpaid family workers",Employment,"Millions of jobs",2007,4,0.1
"Total economy",Proprietors,"Nonfarm business: non-employees: proprietors",Employment,"Millions of jobs",2007,4,10.826
"Total economy","All workers","Total U.S. economy","Hours worked","Billions of hours",2008,1,268.726
"Total economy",Employees,"General government: total","Hours worked","Billions of hours",2008,1,37.295
"Total economy",Employees,"General government: federal","Hours worked","Billions of hours",2008,1,3.838
"Total economy",Employees,"General government: state and local","Hours worked","Billions of hours",2008,1,33.457
"Total economy",Personnel,"Armed forces","Hours worked","Billions of hours",2008,1,2.61
"Total economy",Employees,"Private households","Hours worked","Billions of hours",2008,1,1.229
"Total economy",Employees,"Nonprofit institutions","Hours worked","Billions of hours",2008,1,21.165
"Total economy","All workers",Farm,"Hours worked","Billions of hours",2008,1,4.136
"Total economy","All workers","Nonfarm business: total","Hours worked","Billions of hours",2008,1,202.29
"Total economy",Employees,"Nonfarm business: private nonfarm (excluding nonprofit institutions)","Hours worked","Billions of hours",2008,1,180.516
"Total economy",Employees,"Nonfarm business: government enterprises: total","Hours worked","Billions of hours",2008,1,3.994
"Total economy",Employees,"Nonfarm business: government enterprises: federal","Hours worked","Billions of hours",2008,1,1.625
"Total economy",Employees,"Nonfarm business: government enterprises: state and local","Hours worked","Billions of hours",2008,1,2.369
"Total economy","Unpaid family workers","Nonfarm business: non-employees: unpaid family workers","Hours worked","Billions of hours",2008,1,0.184
"Total economy",Proprietors,"Nonfarm business: non-employees: proprietors","Hours worked","Billions of hours",2008,1,17.596
"Total economy","All workers","Total U.S. economy",Employment,"Millions of jobs",2008,1,153.897
"Total economy",Employees,"General government: total",Employment,"Millions of jobs",2008,1,20.352
"Total economy",Employees,"General government: federal",Employment,"Millions of jobs",2008,1,1.884
"Total economy",Employees,"General government: state and local",Employment,"Millions of jobs",2008,1,18.467
"Total economy",Personnel,"Armed forces",Employment,"Millions of jobs",2008,1,1.417
"Total economy",Employees,"Private households",Employment,"Millions of jobs",2008,1,0.861
"Total economy",Employees,"Nonprofit institutions",Employment,"Millions of jobs",2008,1,13.151
"Total economy","All workers",Farm,Employment,"Millions of jobs",2008,1,2.17
"Total economy","All workers","Nonfarm business: total",Employment,"Millions of jobs",2008,1,115.946
"Total economy",Employees,"Nonfarm business: private nonfarm (excluding nonprofit institutions)",Employment,"Millions of jobs",2008,1,103.114
"Total economy",Employees,"Nonfarm business: government enterprises: total",Employment,"Millions of jobs",2008,1,2.064
"Total economy",Employees,"Nonfarm business: government enterprises: federal",Employment,"Millions of jobs",2008,1,0.861
"Total economy",Employees,"Nonfarm business: government enterprises: state and local",Employment,"Millions of jobs",2008,1,1.203
"Total economy","Unpaid family workers","Nonfarm business: non-employees: unpaid family workers",Employment,"Millions of jobs",2008,1,0.101
"Total economy",Proprietors,"Nonfarm business: non-employees: proprietors",Employment,"Millions of jobs",2008,1,10.667
"Total economy","All workers","Total U.S. economy","Hours worked","Billions of hours",2008,2,267.898
"Total economy",Employees,"General government: total","Hours worked","Billions of hours",2008,2,37.386
"Total economy",Employees,"General government: federal","Hours worked","Billions of hours",2008,2,3.791
"Total economy",Employees,"General government: state and local","Hours worked","Billions of hours",2008,2,33.594
"Total economy",Personnel,"Armed forces","Hours worked","Billions of hours",2008,2,2.619
"Total economy",Employees,"Private households","Hours worked","Billions of hours",2008,2,1.255
"Total economy",Employees,"Nonprofit institutions","Hours worked","Billions of hours",2008,2,21.36
"Total economy","All workers",Farm,"Hours worked","Billions of hours",2008,2,4.083
"Total economy","All workers","Nonfarm business: total","Hours worked","Billions of hours",2008,2,201.195
"Total economy",Employees,"Nonfarm business: private nonfarm (excluding nonprofit institutions)","Hours worked","Billions of hours",2008,2,179.472
"Total economy",Employees,"Nonfarm business: government enterprises: total","Hours worked","Billions of hours",2008,2,4.01
"Total economy",Employees,"Nonfarm business: government enterprises: federal","Hours worked","Billions of hours",2008,2,1.651
"Total economy",Employees,"Nonfarm business: government enterprises: state and local","Hours worked","Billions of hours",2008,2,2.359
"Total economy","Unpaid family workers","Nonfarm business: non-employees: unpaid family workers","Hours worked","Billions of hours",2008,2,0.202
"Total economy",Proprietors,"Nonfarm business: non-employees: proprietors","Hours worked","Billions of hours",2008,2,17.51
"Total economy","All workers","Total U.S. economy",Employment,"Millions of jobs",2008,2,153.6
"Total economy",Employees,"General government: total",Employment,"Millions of jobs",2008,2,20.415
"Total economy",Employees,"General government: federal",Employment,"Millions of jobs",2008,2,1.895
"Total economy",Employees,"General government: state and local",Employment,"Millions of jobs",2008,2,18.52
"Total economy",Personnel,"Armed forces",Employment,"Millions of jobs",2008,2,1.423
"Total economy",Employees,"Private households",Employment,"Millions of jobs",2008,2,0.907
"Total economy",Employees,"Nonprofit institutions",Employment,"Millions of jobs",2008,2,13.226
"Total economy","All workers",Farm,Employment,"Millions of jobs",2008,2,2.164
"Total economy","All workers","Nonfarm business: total",Employment,"Millions of jobs",2008,2,115.466
"Total economy",Employees,"Nonfarm business: private nonfarm (excluding nonprofit institutions)",Employment,"Millions of jobs",2008,2,102.502
"Total economy",Employees,"Nonfarm business: government enterprises: total",Employment,"Millions of jobs",2008,2,2.068
"Total economy",Employees,"Nonfarm business: government enterprises: federal",Employment,"Millions of jobs",2008,2,0.862
"Total economy",Employees,"Nonfarm business: government enterprises: state and local",Employment,"Millions of jobs",2008,2,1.206
"Total economy","Unpaid family workers","Nonfarm business: non-employees: unpaid family workers",Employment,"Millions of jobs",2008,2,0.125
"Total economy",Proprietors,"Nonfarm business: non-employees: proprietors",Employment,"Millions of jobs",2008,2,10.771
"Total economy","All workers","Total U.S. economy","Hours worked","Billions of hours",2008,3,265.571
"Total economy",Employees,"General government: total","Hours worked","Billions of hours",2008,3,37.327
"Total economy",Employees,"General government: federal","Hours worked","Billions of hours",2008,3,3.803
"Total economy",Employees,"General government: state and local","Hours worked","Billions of hours",2008,3,33.524
"Total economy",Personnel,"Armed forces","Hours worked","Billions of hours",2008,3,2.636
"Total economy",Employees,"Private households","Hours worked","Billions of hours",2008,3,1.192
"Total economy",Employees,"Nonprofit institutions","Hours worked","Billions of hours",2008,3,21.46
"Total economy","All workers",Farm,"Hours worked","Billions of hours",2008,3,4.065
"Total economy","All workers","Nonfarm business: total","Hours worked","Billions of hours",2008,3,198.892
"Total economy",Employees,"Nonfarm business: private nonfarm (excluding nonprofit institutions)","Hours worked","Billions of hours",2008,3,177.344
"Total economy",Employees,"Nonfarm business: government enterprises: total","Hours worked","Billions of hours",2008,3,4.048
"Total economy",Employees,"Nonfarm business: government enterprises: federal","Hours worked","Billions of hours",2008,3,1.653
"Total economy",Employees,"Nonfarm business: government enterprises: state and local","Hours worked","Billions of hours",2008,3,2.395
"Total economy","Unpaid family workers","Nonfarm business: non-employees: unpaid family workers","Hours worked","Billions of hours",2008,3,0.169
"Total economy",Proprietors,"Nonfarm business: non-employees: proprietors","Hours worked","Billions of hours",2008,3,17.332
"Total economy","All workers","Total U.S. economy",Employment,"Millions of jobs",2008,3,152.864
"Total economy",Employees,"General government: total",Employment,"Millions of jobs",2008,3,20.496
"Total economy",Employees,"General government: federal",Employment,"Millions of jobs",2008,3,1.913
"Total economy",Employees,"General government: state and local",Employment,"Millions of jobs",2008,3,18.583
"Total economy",Personnel,"Armed forces",Employment,"Millions of jobs",2008,3,1.437
"Total economy",Employees,"Private households",Employment,"Millions of jobs",2008,3,0.885
"Total economy",Employees,"Nonprofit institutions",Employment,"Millions of jobs",2008,3,13.296
"Total economy","All workers",Farm,Employment,"Millions of jobs",2008,3,2.18
"Total economy","All workers","Nonfarm business: total",Employment,"Millions of jobs",2008,3,114.57
"Total economy",Employees,"Nonfarm business: private nonfarm (excluding nonprofit institutions)",Employment,"Millions of jobs",2008,3,101.649
"Total economy",Employees,"Nonfarm business: government enterprises: total",Employment,"Millions of jobs",2008,3,2.061
"Total economy",Employees,"Nonfarm business: government enterprises: federal",Employment,"Millions of jobs",2008,3,0.854
"Total economy",Employees,"Nonfarm business: government enterprises: state and local",Employment,"Millions of jobs",2008,3,1.207
"Total economy","Unpaid family workers","Nonfarm business: non-employees: unpaid family workers",Employment,"Millions of jobs",2008,3,0.091
"Total economy",Proprietors,"Nonfarm business: non-employees: proprietors",Employment,"Millions of jobs",2008,3,10.769
"Total economy","All workers","Total U.S. economy","Hours worked","Billions of hours",2008,4,260.413
"Total economy",Employees,"General government: total","Hours worked","Billions of hours",2008,4,37.506
"Total economy",Employees,"General government: federal","Hours worked","Billions of hours",2008,4,3.912
"Total economy",Employees,"General government: state and local","Hours worked","Billions of hours",2008,4,33.594
"Total economy",Personnel,"Armed forces","Hours worked","Billions of hours",2008,4,2.664
"Total economy",Employees,"Private households","Hours worked","Billions of hours",2008,4,1.241
"Total economy",Employees,"Nonprofit institutions","Hours worked","Billions of hours",2008,4,21.46
"Total economy","All workers",Farm,"Hours worked","Billions of hours",2008,4,4.169
"Total economy","All workers","Nonfarm business: total","Hours worked","Billions of hours",2008,4,193.374
